Authors;Year;Source title;Cited by
Kavanaugh M.T., Holtgrieve G.W., Baulch H., Brum J.R., Cuvelier M.L., Filstrup T., Nickols K.J., Small G.E.;2013;Limnology and Oceanography Bulletin;1
MacDonald L.H., Paull J.S., Jaffe P.R.;2013;Environmental Monitoring and Assessment;3
Zhang Q., Brady D.C., Ball W.P.;2013;Science of the Total Environment;3
Somero G.N.;2013;Journal of Experimental Biology;
Haupt A.J., Micheli F., Palumbi S.R.;2013;Journal of Heredity;5
Kim T.W., Micheli F.;2013;Biofouling;1
Webster S.E., Walls J.M., Whitcomb L.L., Eustice R.M.;2013;IEEE Transactions on Robotics;13
Gaylord B., Hodin J., Ferner M.C.;2013;Proceedings of the National Academy of Sciences of the United States of America;10
Pespeni M.H., Sanford E., Gaylord B., Hill T.M., Hosfelt J.D., Jaris H.K., LaVigne M., Lenz E.A., Russell A.D., Young M.K., Palumbi S.R.;2013;Proceedings of the National Academy of Sciences of the United States of America;67
Micheli F., Levin N., Giakoumi S., Katsanevakis S., Abdulla A., Coll M., Fraschetti S., Kark S., Koutsoubas D., Mackelworth P., Maiorano L., Possingham H.P.;2013;PLoS ONE;24
Rossetto M., De Leo G.A., Greenley A., Vazquez L., Saenz-Arroyo A., Montes J.A.E., Micheli F.;2013;Journal of Shellfish Research;1
Brette F., Blandin E., Simard C., Guinamard R., Salle L.;2013;Journal of Molecular and Cellular Cardiology;4
Bay R.A., Bielawski J.P.;2013;Journal of Molecular Evolution;
Hogstrom U., Rutgersson A., Sahlee E., Smedman A.-S., Hristov T.S., Drennan W.M., Kahma K.K.;2013;Boundary-Layer Meteorology;7
Aguirre J.D., Clark H.M., McIlvin M., Vazquez C., Palmere S.L., Grab D.J., Seshu J., Hart P.J., Saito M., Culotta V.C.;2013;Journal of Biological Chemistry;16
Tanhua T., Waugh D.W., Bullister J.L.;2013;Geophysical Research Letters;4
Bolzoni L., De Leo G.A.;2013;American Naturalist;4
Madigan D.J., Baumann Z., Snodgrass O.E., Ergul H.A., Dewar H., Fisher N.S.;2013;Environmental Science and Technology;8
Young H.S., Mccauley D.J., Dunbar R.B., Hutson M.S., Ter-Kuile A.M., Dirzo R.;2013;Ecology;3
Hazen E.L., Jorgensen S., Rykaczewski R.R., Bograd S.J., Foley D.G., Jonsen I.D., Shaffer S.A., Dunne J.P., Costa D.P., Crowder L.B., Block B.A.;2013;Nature Climate Change;40
Marteinsson V.T., Runarsson A., Stefansson A., Thorsteinsson T., Johannesson T., Magnusson S.H., Reynisson E., Einarsson B., Wade N., Morrison H.G., Gaidos E.;2013;ISME Journal;16
Gaither M.R., Aeby G., Vignon M., Meguro Y.-I., Rigby M., Runyon C., Toonen R.J., Wood C.L., Bowen B.W.;2013;PLoS ONE;5
Green S.A., Norris R.P., Terasak M., Lowe C.J.;2013;Development (Cambridge);10
Kroeker K.J., Micheli F., Gambi M.C.;2013;Nature Climate Change;42
McLeod E., Anthony K.R.N., Andersson A., Beeden R., Golbuu Y., Kleypas J., Kroeker K., Manzello D., Salm R.V., Schuttenberg H., Smith J.E.;2013;Frontiers in Ecology and the Environment;7
Cordioli M., Vincenzi S., De Leo G.A.;2013;Science of the Total Environment;3
Dowd W.W., Somero G.N.;2013;Journal of Experimental Biology;8
Sorte C.J.B., Ibanez I., Blumenthal D.M., Molinari N.A., Miller L.P., Grosholz E.D., Diez J.M., D'Antonio C.M., Olden J.D., Jones S.J., Dukes J.S.;2013;Ecology Letters;38
Ferretti F., Osio G.C., Jenkins C.J., Rosenberg A.A., Lotze H.K.;2013;Scientific Reports;8
Barshis D.J., Ladner J.T., Oliver T.A., Seneca F.O., Traylor-Knowles N., Palumbi S.R.;2013;Proceedings of the National Academy of Sciences of the United States of America;69
Teo S.L.H., Sandstrom P.T., Chapman E.D., Null R.E., Brown K., Klimley A.P., Block B.A.;2013;Environmental Biology of Fishes;5
