acquisition_time	studies_id	utm_x	utm_y	sex	gps_positions_animals_id	original_animal_id	animal_year_id
02MAY07:21:00:00	5	426305.6908	6558209.258	f	1203430	3358	33580
03MAY07:00:00:00	5	426476.1561	6558213.933	f	1203429	3358	33580
03MAY07:03:00:00	5	426431.1031	6558555.506	f	1203428	3358	33580
03MAY07:06:00:00	5	427202.6182	6557877.301	f	1203427	3358	33580
03MAY07:09:00:00	5	427538.4048	6557911.007	f	1203426	3358	33580
03MAY07:12:00:00	5	427420.3221	6557851.001	f	1203425	3358	33580
03MAY07:15:00:00	5	427703.8161	6558139.419	f	1203424	3358	33580
03MAY07:18:01:00	5	428422.9542	6558505.188	f	1203423	3358	33580
03MAY07:21:00:00	5	428327.509	6558517.583	f	1203422	3358	33580
04MAY07:00:00:00	5	428578.6331	6558088.573	f	1226525	3358	33580
04MAY07:03:00:00	5	428693.7527	6557716.194	f	1226524	3358	33580
04MAY07:06:00:00	5	429186.5932	6556933.166	f	1226523	3358	33580
04MAY07:09:00:00	5	429424.6749	6556908.765	f	1226522	3358	33580
04MAY07:12:00:00	5	429404.7389	6556785.013	f	1226521	3358	33580
04MAY07:15:00:00	5	429622.4632	6556256.656	f	1226520	3358	33580
04MAY07:18:00:00	5	429796.3264	6555983.128	f	1226519	3358	33580
04MAY07:21:01:00	5	430092.7243	6555642.843	f	1226518	3358	33580
05MAY07:00:00:00	5	430323.1815	6555807.425	f	1226517	3358	33580
05MAY07:03:00:00	5	430271.2822	6556009.889	f	1226516	3358	33580
05MAY07:06:01:00	5	429659.1846	6555289.57	f	1226515	3358	33580
05MAY07:09:00:00	5	429953.3386	6554280.101	f	1226514	3358	33580
